id,observed_on,user_id,latitude,longitude,field:colour,field:head capsule visible?
19112782,2018-11-09,43591,29.4609433333,-98.4739133333,Black,Yes
19112803,2018-11-09,43591,29.54931,-98.36211,Black,Yes
19126393,2018-08-21,850887,40.0194152793,-83.0192976237,Black,No
19151795,2018-08-07,1515879,34.839514,-85.4839605,Black,Yes
19202363,2018-08-22,1401034,40.0507185037,-75.1680064201,Black,No
19215334,2018-11-24,90526,29.8542690539,-97.7000870873,Black,No
19221383,2018-11-10,43591,30.249035,-97.7297666667,Black,Yes
19221389,2018-11-10,43591,30.247795,-97.72678,Red,Yes
19223672,2018-10-12,90526,30.1845861111,-97.7270083333,Black,Yes
19228287,2018-05-14,43591,32.7368033333,-97.3663583333,Black,No
19254547,2018-12-27,18701,39.4172134399,-77.2061309814,,
19255221,2018-09-14,1063583,41.9044151306,-73.9807052612,Black,Yes
19332783,2018-10-10,1407832,33.4413374635,-84.2272029073,Black,No
19403405,2018-09-09,769277,41.2870638889,-72.5620944444,Black,No
19730911,2018-08-10,449354,43.7476144124,-79.8078127832,Red,No
19760555,2018-08-04,574531,42.3914783333,-76.3736366667,Black,No
19772940,2018-08-18,242433,48.5476166265,-121.8474789682,Black,Yes
19889494,2018-09-23,375183,35.2373845657,-97.4249898441,Black,Yes
19891099,2018-10-06,375183,35.2473835719,-97.5563229002,Black,No
19946801,2018-06-24,1386139,41.2206093185,-79.3913206169,Black,Yes
19946919,2018-07-05,1386139,40.1973635735,-75.7937279463,Black,Yes
19946921,2018-07-09,1386139,41.4272399312,-79.7036162537,Black,Yes
19946924,2018-07-20,1386139,41.4239971125,-79.7005942112,Black,Yes
19946959,2018-07-29,1386139,41.3259541998,-79.8438147088,Black,Yes
19947073,2018-07-29,1386139,41.3306813892,-79.8318540762,Black,No
19950252,2018-08-04,1386139,41.2208595416,-79.3911876016,Black,No
19950253,2018-08-04,1386139,41.2208882263,-79.391171674,Black,Yes
19950254,2018-08-04,1386139,41.2208244894,-79.3912019265,Black,No
20018937,2018-09-27,375183,35.1854555556,-97.4027111111,Black,Yes
20188154,2018-08-16,1464192,40.8619910566,-88.6393913356,Red,No
20195481,2019-02-07,1452409,30.3804997025,-97.7179047812,,
20202426,2018-10-26,650639,29.3181904033,-98.4500827455,Black,No
20243844,2019-02-02,435598,30.3500909588,-97.384397985,,
20302966,2018-09-02,1466298,38.7069083333,-76.5409166667,Black,No
20354879,2018-09-13,430860,41.3668853352,-73.9690895088,Black,No
20373350,2019-02-12,18552,30.3867862,-97.7042711,,
20378892,2019-02-15,857096,32.1747673243,-94.6870194548,,
20422765,2018-06-23,1209995,38.8532916667,-77.1914583333,Black,Yes
20503433,2018-07-28,999680,41.7473008799,-82.6267887814,Black,No
20503440,2018-07-28,999680,41.7492562947,-82.6235124827,Black,Yes
20545471,2019-02-21,301293,32.6650892,-97.1727262,,
20585579,2019-02-22,424633,30.3522949219,-90.0421600342,,
20716144,2019-02-23,12049,29.6684972222,-82.2386388889,,
20761499,2019-02-24,152521,29.7652373113,-95.4517598249,,
20764175,2019-02-25,18812,27.6692337368,-97.3291681857,,
20771396,2018-09-03,1494434,39.432800293,-84.7399368286,Black,No
20784591,2018-09-16,279977,40.6046833333,-73.9296583333,Black,No
20819839,2019-02-25,22589,27.6692321675,-97.3291610497,,
20822204,2019-02-15,435598,30.3073403706,-97.2684246443,,
20826796,2019-02-27,424633,30.3812656403,-90.1030502319,,
20862056,2019-03-01,207263,32.0323927113,-85.4558977021,,
20871935,2019-02-15,435598,30.3503939057,-97.5472518268,,
20884052,2018-07-07,35078,41.1898278911,-74.4305324526,,
20919239,2018-07-20,1469313,39.8901090644,-76.5935785491,Black,Yes
20933259,2019-03-02,688071,30.19718819,-97.82894355,,
20963546,2019-03-05,632961,40.8589821193,-73.1983145276,,
20968286,2018-07-12,35078,40.727157117,-74.0927352472,Black,Yes
20972417,2018-11-10,395776,31.0616445,-94.27672,Black,Yes
21001315,2019-02-25,1512829,30.1593583333,-96.4060666667,,
21044646,2019-03-06,1454312,28.0708363486,-82.3726289212,Black,No
21083929,2019-03-09,451214,30.070332,-97.2930521693,,
21101958,2019-03-09,825926,41.3548715389,-72.7460283814,,
21132013,2019-03-10,438488,32.9068031311,-97.1136169434,,
21143958,2019-03-11,131068,30.6421934772,-97.608003256,,
21155459,2019-03-11,424633,30.3820571899,-90.1027908325,,
21157707,2019-02-23,380122,30.6375828498,-95.7282491036,,
21159439,2019-02-23,380122,30.6375666953,-95.7282651969,,
21162563,2019-03-09,18812,30.0482929243,-97.1596216059,,
21163793,2019-03-09,18812,30.0556301353,-97.1771887548,,
21163794,2019-03-09,18812,30.0556210214,-97.1772088609,,
21164983,2019-03-09,18812,30.2947548714,-97.2579552841,,
21166940,2019-03-10,18812,30.1809668338,-97.7299253395,,
21194307,2019-02-20,435598,30.3475500893,-97.5326164987,,
21240046,2019-03-10,18780,32.9059313067,-97.1149185537,,
21243939,2019-03-14,1452409,30.2788955016,-97.6516641102,,
21250989,2018-06-23,1052928,36.1709195556,-86.6392611667,,
21275980,2019-02-23,435598,30.3409877,-97.3757388,,
21290505,2019-03-09,68260,30.2338277778,-97.6477305556,,
21302729,2019-03-14,439033,30.2051715851,-97.731552124,,
21313534,2019-03-12,90526,30.3355915256,-97.4951854407,,
21358088,2019-03-18,1474818,32.6968585756,-97.0904698697,,
21378582,2019-03-18,1474818,32.6971091878,-97.09046918,,
21385527,2019-03-18,640701,30.6859845278,-88.0606827512,,
21400655,2018-10-01,999680,42.6934196611,-80.3455034971,Red,No
21418031,2019-03-20,400005,41.3004500541,-73.6692187195,,
21433981,2019-03-20,59878,29.9573883333,-90.1101528333,,
21463156,2019-03-09,380122,30.6374972306,-95.7282671239,,
21463160,2019-03-09,380122,30.6374972306,-95.7282671239,,
21464488,2019-03-09,380122,30.637479773,-95.7282647016,,
21466017,2019-03-19,422627,31.6116191944,-97.1239921944,,
21471268,2019-02-23,435598,30.2469793967,-97.582142481,,
21480191,2019-03-22,1492215,32.1889033333,-81.5093916667,,
21555758,2019-03-24,516297,40.3290956891,-75.30713879,,
21577326,2019-03-23,251131,32.8491628188,-83.888605754,,
21578286,2018-08-30,1551349,41.7803916667,-88.1526111111,Black,Yes
21584047,2019-03-24,929743,33.4434448,-85.5799563,,
21588498,2019-03-17,24973,32.857032,-96.685737,,
21603691,2019-03-18,24973,32.857032,-96.685737,,
21619229,2019-03-02,435598,30.0391001708,-97.1583515703,,
21622024,2019-03-25,111241,32.5873833333,-97.238355,,
21627919,2019-03-25,79395,39.4654669706,-74.4520663284,,
21655681,2019-03-08,435598,30.1512634293,-97.1089762125,,
21689676,2019-03-22,112578,31.7916842778,-97.5855048056,,
21698198,2019-03-14,812833,29.9518120472,-96.9949393511,,
21725836,2019-03-08,435598,30.1504780676,-97.1095612607,,
21733339,2019-03-29,18446,32.838466,-93.915359,,
21739191,2019-03-29,22589,32.735595,-97.1000528333,,
21774869,2019-03-30,574081,32.68514299,-85.9730798,,
21788411,2019-03-27,24973,32.857032,-96.685737,,
21814565,2019-03-14,380122,30.8087221015,-95.4452396409,,
21851357,2018-08-28,532330,39.7048822,-83.9962491,,
21853376,2019-03-09,435598,30.0440630838,-97.1619129955,,
21882915,2019-04-01,1293513,29.1126632877,-95.6127732341,Black,Yes
21898448,2019-03-09,435598,30.0555773802,-97.1772196794,,
21898452,2019-03-09,435598,30.0555750587,-97.1772176677,,
21925817,2019-04-02,1568623,35.4567109107,-97.2541234642,,
21933036,2019-04-02,461665,35.2503503973,-97.4384398218,,
21933808,2019-04-02,288963,35.2168116667,-97.466575,,
21934391,2019-04-02,822572,35.42255003,-97.44404925,,
21943619,2019-04-03,208359,35.5183092815,-97.4734866808,,
21970087,2019-03-09,435598,30.0390992124,-97.1583569838,,
21971972,2018-11-21,550722,32.758569,-97.12579,Black,Yes
21981531,2019-04-04,258687,33.0634653528,-97.5944448262,,
22009953,2019-03-09,435598,30.2947566591,-97.2579611738,,
22011033,2019-04-04,1018190,35.4272826249,-97.1570844721,,
22011035,2019-04-04,1018190,35.491906595,-97.0486060499,,
22040823,2019-04-05,461665,35.228789256,-97.4509953315,,
22043409,2019-04-05,1582029,28.0944608272,-82.4390554544,,
22074073,2019-04-04,1281140,31.8639945,-81.9267701,,
22077071,2019-04-06,85164,33.0822861667,-97.5633616667,,
22097643,2019-04-05,822572,35.42248395,-97.44403901,,
22122561,2019-04-05,181537,36.223533,-95.902882,,
22137551,2019-04-07,288963,35.2167883333,-97.4665366667,,
22176334,2019-04-07,12377,35.1254062336,-97.3798025787,,
22179644,2019-04-07,822572,35.42261418,-97.44402001,,
22179682,2019-04-07,822572,35.42267,-97.444089,,
22181791,2019-04-07,276151,32.6700057983,-96.9122924805,,
22188074,2019-04-08,1368218,30.5023283333,-84.3407833333,,
22235891,2019-04-09,85164,33.1858144637,-97.6649878217,,
22266458,2018-07-29,451865,38.7213063083,-77.4232982777,,
22266736,2019-03-09,435598,30.350060612,-97.5471508153,,
22293010,2019-04-07,923823,35.8611416667,-95.2212666667,,
22311922,2019-03-10,435598,30.1812403034,-97.729711076,,
22341823,2019-04-11,238790,36.1723716667,-96.1015861667,,
22342840,2019-04-08,302586,29.6683456229,-95.0757942488,Black,Yes
22364621,2019-04-10,822572,35.4224939751,-97.4440114573,,
22377649,2019-04-12,12377,35.22792,-97.4456416667,,
22377685,2019-04-12,370785,30.1882552968,-97.7183125913,Black,Yes
22415714,2019-04-13,742003,30.0293508405,-89.961528238,Black,Yes
22417100,2019-04-13,1590065,30.6527938843,-83.2340087891,Black,Yes
22417853,2019-04-13,1605680,30.65439936,-83.23418265,,
22510351,2019-04-14,454252,28.8838119507,-95.5843505859,Black,Yes
22558975,2019-04-16,1444184,30.2387967054,-97.7170053498,Black,Yes
22642935,2019-04-03,1063251,35.2079183349,-97.0758163795,,
22664476,2019-04-18,1629672,30.0534350239,-95.3838895262,Black,Yes
22676393,2019-04-18,1029399,30.2641416667,-97.684945,Black,Yes
22685598,2019-04-17,24973,32.857061,-96.685736,,
22687153,2019-04-18,1453835,30.2380083333,-97.7040033333,Black,Yes
22736370,2019-04-19,751009,40.8656188542,-73.0673063546,,
22754116,2018-09-03,1079820,39.3288,-76.6308111111,Black,No
22755705,2019-04-20,730264,30.21317498,-97.64893118,Black,Yes
22798861,2019-04-20,288963,35.2168683,-97.4665988,,
22821408,2019-04-18,1464123,30.248901068,-97.7097942976,Black,Yes
22843855,2019-04-21,1443117,29.560054553,-97.1512512596,Black,Yes
22846226,2019-04-20,772956,29.5872925121,-97.5827110916,Black,Yes
22861130,2019-04-21,1447680,29.7104320526,-98.1362915039,Black,No
22869479,2019-04-11,24768,30.1875499407,-97.7218492592,,
22915413,2019-04-22,958265,29.6140398779,-98.4571800381,Black,Yes
22918031,2019-04-22,1649528,29.6324836054,-95.6569484507,Black,Yes
22940937,2019-04-22,1459621,30.4121005874,-84.1388801113,Black,Yes
22953947,2019-04-23,1251285,30.1846948732,-97.7249812336,Black,Yes
22963391,2019-04-23,770870,31.6420158092,-94.7029452212,Black,Yes
22965770,2019-04-23,550791,30.2653966667,-97.762305,Black,Yes
23022503,2019-04-24,1635828,35.936614619,-95.6317043824,,
23078453,2019-04-25,439033,30.3707504272,-97.7110748291,Black,Yes
23078972,2019-04-25,536964,29.9797583333,-95.5874866667,Black,Yes
23085784,2019-04-25,1541304,32.794075,-97.1163471667,Black,Yes
23087461,2019-04-21,593075,35.955647616,-96.8550004133,,
23097715,2019-04-25,1280294,29.699275,-93.9481666667,Black,Yes
23131215,2019-04-25,1544409,41.4991333333,-73.5299,,
23148220,2019-04-26,1666554,30.2356503066,-95.4827039503,Black,Yes
23150341,2019-04-26,121635,39.4176808605,-76.7310419307,,
23162961,2019-04-26,634618,29.572177534,-98.2795402688,Black,Yes
23173313,2019-04-26,793749,32.6947633333,-95.5692966667,Black,No
23179108,2019-04-26,394806,30.25335,-97.7385633333,Black,Yes
23184416,2019-04-26,1529782,30.5161765775,-84.2874796287,Black,No
23186910,2019-04-26,32469,30.2607416667,-97.74012,Black,Unsure
23207146,2019-04-26,306974,29.7611656189,-95.3721847534,Black,No
23209018,2019-04-26,1611777,30.3806407191,-97.6989262552,Black,No
23213614,2019-04-26,1452788,30.2383124697,-97.653867372,Black,Yes
23235050,2019-04-26,27047,30.4179722222,-97.7585361111,,
23249873,2019-04-26,907409,30.4356222222,-84.1487194444,Black,Yes
23286172,2019-04-26,56498,29.923745,-95.226,,
23292346,2019-04-26,822572,35.42257073,-97.44404743,,
23306136,2019-04-26,850473,29.7621318333,-95.4505290556,Black,Yes
23328681,2019-04-26,56498,30.0295533333,-95.27548,,
23344634,2019-04-26,111285,29.363291026,-98.4791293471,Black,Yes
23370462,2019-04-27,32469,30.260633491,-97.7412488312,Black,Yes
23372346,2019-04-26,593075,35.9357618693,-96.8941614266,,
23386720,2019-04-27,1599138,30.2597061172,-97.7411724721,Black,Yes
23386981,2019-04-27,916429,30.2598259394,-97.7413699339,Black,Yes
23388047,2019-04-27,63375,30.2597653773,-97.7412760724,Black,Yes
23389340,2019-04-27,1683451,30.2658615112,-97.7520217896,Black,No
23392067,2019-04-27,1387621,30.2590956632,-97.7413266991,Black,No
23404923,2019-04-27,1106605,29.4594203169,-98.4734182992,Black,Yes
23415368,2019-04-27,1549894,29.45726838,-98.47858294,Black,No
23419774,2019-04-27,1681933,30.45968257,-84.32226571,Black,Yes
23425955,2019-04-27,497469,30.4699511547,-84.2486508564,Black,No
23442065,2019-04-26,1464123,30.2703439739,-97.8286073106,Black,Yes
23455116,2019-04-27,1087419,29.6465866667,-95.1681583333,Black,Yes
23468489,2019-04-27,1344425,29.4624580862,-98.4713970033,Black,Yes
23472825,2019-04-27,1569395,30.0387361667,-95.38012,Black,Yes
23479636,2019-04-27,1589690,30.0103974715,-97.2481749115,Black,Yes
23486791,2019-04-27,1661079,30.3810005188,-97.7068557739,Black,No
23487976,2019-04-27,652165,30.5368755468,-97.6814747123,Black,Yes
23491187,2019-04-27,939972,30.2407866667,-97.6977783333,Black,Yes
23492010,2019-04-27,1136587,30.4909290532,-90.1894841632,Black,Yes
23498098,2019-04-27,289602,30.3568283333,-91.0953221667,Black,Yes
23503986,2019-04-26,318400,29.1104636667,-95.6146763394,,
23506595,2019-04-27,792146,29.3744549096,-94.9873206786,Black,Yes
23533802,2019-04-27,22417,29.0427158333,-95.4195108333,,
23536665,2019-04-27,1539658,29.785345,-95.3665166667,Black,No
23537150,2019-04-27,288963,29.5018416667,-94.520805,Black,Yes
23556619,2018-06-28,10244,48.6674835139,-68.0125507135,,
23624521,2019-04-28,1462404,29.60515,-95.2178116667,Black,Yes
