id,observed_on,user_id,latitude,longitude,field:colour,field:head capsule visible
10996096,2018-04-13,111241,29.5719640824,-94.3899822235,Black,
10996097,2018-04-13,111241,29.5718883333,-94.393225,Black,
11040879,2018-04-16,288963,35.2166666667,-97.4665083333,,
11119851,2018-04-18,834183,30.5466605723,-94.4152171166,Black,
11120588,2018-04-18,834183,30.548263737,-94.4115469326,Black,
11156094,2018-04-06,90526,29.6888055556,-101.3195527778,Black,
11164496,2018-04-15,825396,29.757558,-93.60299,Black,
11180468,2018-04-07,703773,29.794081927,-90.1331404969,Black,
11180977,2018-04-18,461665,35.1901033333,-97.271775,,
11182991,2018-03-25,861008,28.4340782166,-81.7382583618,Black,
11195716,2018-04-19,181537,36.223322,-95.90312,,
11238200,2018-04-20,442247,30.5562913,-91.1729491,Black,
11240187,2018-04-20,863895,30.5707187299,-91.1649903283,Black,
11269262,2018-04-21,865253,30.5710173315,-91.1677408334,Black,
11270008,2018-04-21,750323,30.7646117009,-95.4786286616,Black,
11274501,2018-04-21,865019,30.56948137,-91.1651906,Black,
11345337,2018-04-22,741872,29.914639,-82.5762891,Black,
11395147,2018-04-24,22417,29.0427158333,-95.4195108333,,
11422193,2018-04-25,880755,30.3724783333,-97.6967466667,Black,
11449987,2018-04-21,19956,30.5686167308,-91.1654949188,Black,
11455298,2018-04-26,417445,32.9708446834,-96.6738788321,Black,
11498983,2018-04-27,440558,29.3469994767,-98.4638819917,Black,
11500508,2018-04-27,725210,30.4046290135,-97.7911843547,Black,
11501256,2018-04-27,430818,30.0965280739,-95.4010038419,Black,
11503015,2018-04-27,856348,30.4047215916,-97.7894861811,Black,
11519212,2018-04-27,589844,31.3324966667,-89.3358333333,Black,
11526797,2018-04-27,856338,30.4179583333,-97.784455,Black,
11531150,2018-04-27,225587,32.8689912596,-96.6829096607,Black,
11594797,2018-04-28,9706,30.1986434757,-98.114161849,,
11612785,2018-04-28,863769,30.3933654131,-95.1578721777,Black,
11631668,2018-04-26,796058,30.0327083333,-95.5013883333,Black,
11638047,2018-04-28,101240,29.7812166331,-95.3742636744,Black,
11652766,2018-04-28,617621,32.82789029,-97.26834119,Black,
11660445,2018-04-27,111285,29.3483654707,-98.4647095633,Black,
11700160,2018-04-28,24857,32.7532283333,-97.2765516667,Black,
11703419,2018-04-28,80181,32.72835597,-96.7522271723,Black,
11722247,2018-04-27,423366,30.4249276,-95.4799418,Black,
11778253,2018-04-29,44208,29.7672691345,-95.3536376953,Black,
11784769,2018-04-29,899286,30.35104007,-93.2953562961,Black,
11789335,2018-04-29,919463,30.471145,-95.6718966667,Black,
11883968,2018-04-18,375183,35.1902074,-97.2719129,,
11908404,2018-04-27,306907,30.0981000689,-94.7655870088,,
11933256,2018-04-30,56498,29.9269444444,-95.2261111111,,
11933544,2018-04-30,775329,32.7009849548,-97.0874938965,Black,
11943300,2018-04-30,40077,30.4618911743,-94.3505325317,Black,
11947796,2018-04-29,131068,30.687246,-97.649263,Black,
11951558,2018-04-30,219054,29.502494812,-98.4204864502,Black,
11998407,2018-05-01,40077,30.4587440491,-94.3864974976,Black,
12000272,2018-04-24,25216,29.77552,-98.7092583333,Black,
12002177,2018-05-01,775329,32.6929918867,-97.0849334076,Black,
12003363,2018-04-30,9531,30.6536726143,-97.4125957489,,
12003997,2018-04-28,90526,30.0786194444,-97.3150027778,Black,
12015155,2018-04-29,380122,30.5100617617,-95.6606787443,Black,
12043243,2018-05-02,1639,37.3762214385,-88.9304178581,,
12047290,2018-05-01,22417,29.0427158333,-95.4195108333,,
12058065,2018-05-02,49118,30.8138616667,-94.0170971667,Black,
12061929,2018-04-27,430735,30.7128857897,-97.7313595265,Black,
12078222,2018-04-30,90526,30.2173027778,-97.6525638889,,
12080178,2018-04-30,269263,32.9075015153,-96.7536283815,Black,
12102260,2018-04-30,912851,32.860625,-96.6205583333,Black,
12109785,2018-04-30,350225,32.828066,-96.7253164,Black,
12133828,2018-04-14,755670,30.2640883333,-97.7541116667,Black,
12142571,2018-05-04,838679,30.4051972647,-97.6963943337,Black,
12165107,2018-05-05,901605,29.5430143642,-98.3300450072,Black,
12187696,2018-04-07,939299,30.0318638333,-89.96302,Black,
12193309,2018-05-06,434713,30.6266402278,-95.5325670671,Black,
12194672,2018-05-06,430818,30.6303737356,-95.536583362,Black,
12197266,2018-05-06,863741,30.35647213,-91.0951169395,Black,
12221805,2018-05-05,593075,35.8167128015,-96.8429908184,,
12244540,2018-05-02,755943,30.1862166667,-97.72242,Black,
12262015,2018-05-02,158061,31.1300085,-87.8484821,Black,
12266328,2018-05-05,470974,30.6451616667,-95.52285,Black,
12303953,2018-05-09,845209,30.0460235731,-95.3204454345,Black,
12336088,2018-05-10,552926,41.1592618,-74.0698645,,
12342704,2018-05-10,751105,30.0003861,-97.8790152,Black,
12380864,2018-05-12,349733,30.46206907,-94.35089633,Black,
12478052,2018-05-15,890151,32.2046344703,-90.1385288298,Black,
12540577,2018-05-16,773272,40.335022,-74.595276,,
12558000,2018-05-17,914145,25.9013564,-97.4827345,Black,
12593817,2018-05-18,783729,34.7802666667,-80.8775416667,Black,
12647102,2018-05-20,428179,29.710350316,-98.1059007627,Red,
12664202,2018-05-19,574081,32.6762274,-85.9644598,Black,
12725227,2018-05-22,883339,30.6781456853,-93.8473605272,Black,
12749281,2018-05-23,438488,30.4001216888,-97.6884536743,Red,
12757000,2018-05-23,680060,28.5696494576,-80.9974925464,Black,
12767774,2018-05-23,966470,35.5050383333,-97.55925,,
12775042,2018-05-24,976162,28.0733030645,-82.3780591948,Black,
12802588,2018-05-25,972303,28.0762447743,-82.3760704045,Black,
12834201,2018-05-26,567145,30.4000783333,-97.6884083333,Red,
12847084,2018-05-25,412832,30.2814966667,-97.7101133333,,
12855780,2018-05-25,3511,33.00994,-87.71094,Black,
12892066,2018-05-27,41957,30.549498057,-97.7787607519,Red,
12911714,2018-05-28,941049,30.289280858,-97.6970976855,Red,
