"","observed_on","latitude","longitude","field.colour","RedMean","RedSD","RedMin","RedMax","RedKurt","RedSkew","GreenMean","GreenSD","GreenMin","GreenMax","GreenKurt","GreenSkew","BlueMean","BlueSD","BlueMin","BlueMax","BlueKurt","BlueSkew"
"7139","2020-08-06",44.8589703389,-79.293945618,"Black",124.920608108108,38.2495258126698,1,217,0.506349037115553,-0.946914961224717,90.8458614864865,30.3936206384562,0,197,0.759720831539895,-0.483984918128939,58.8851351351351,26.877420950934,0,172,0.341587397062272,0.488604184011353
"7140","2020-08-04",44.49587,-69.27072833,"Black",146.934431630972,41.1634279695765,9,255,-0.0205192552415174,-0.0532911192426154,135.619110378913,40.5399681995555,0,255,0.0652542743972808,-0.185549597005738,92.7225700164745,36.052260115619,0,222,-0.26696892190785,0.040330838803178
"7143","2020-08-06",44.51661667,-78.1335,"Black",180.350938556605,42.4893913380292,5,255,1.13681688437627,-1.0185987770375,170.826629357584,40.6775653005401,0,255,1.53808454683289,-1.09395149833631,117.462516031246,35.1639752273562,0,208,0.883000653860859,-0.810798695711612
"7144","2020-07-24",42.3716691044,-72.4819188473,"Black",157.918315637066,49.6129434064899,9,255,-0.0808178543878766,-0.560978036449483,146.45583976834,48.2917152267933,5,255,-0.0969037389937353,-0.443696097034159,99.2484314671815,38.134256109594,0,234,-0.0398717451258537,-0.181556620646048
"7148","2020-08-06",44.75258339,-81.27558776,"Black",202.061797752809,29.9686024376501,93,255,0.864660970801787,-0.906297169611325,192.641853932584,29.5886869881594,89,253,0.79955113474931,-0.817033981831858,144.35393258427,24.6241168243536,45,203,1.62620938289128,-0.908905294218294
"7149","2020-08-06",40.0465195,-75.566545,"Red",171.148364107548,37.9978715837317,20,255,0.415334592025976,-0.583220805569692,150.873123852716,36.4539798650994,11,249,0.337952441185355,-0.497318325214207,113.360652197387,33.6483071914949,0,217,0.0817848367330738,-0.252442237492044
"7154","2020-08-06",44.0256628182,-78.4559614956,"Red",169.666826324361,20.5817602350729,93,239,0.854943341798815,-0.510733501980688,153.009292077785,19.7694318769593,61,212,2.07547638259447,-0.97148480649576,138.864929590957,19.7018190470212,52,195,1.24566880273764,-0.597664101688354
"7157","2020-08-04",43.023115,-81.2256071,"Black",194.431350114416,28.1087224656658,38,255,3.14230679253286,-1.26991344536714,190.240417620137,26.8496208465834,32,245,5.09159153110139,-1.59341328985124,151.721824942792,23.6820290395439,6,214,4.44130465640737,-1.4889451642125
"7169","2020-08-07",49.7775083,-86.5234428,"Black",143.415637860082,40.0290584757591,54,223,-1.10302202206601,0.0120695427484921,144.388888888889,36.6182044060572,55,217,-1.00432770059146,-0.0514521220868973,108.904320987654,30.9662801534436,23,184,-0.685822212265646,0.106692166250813
"7170","2020-08-07",43.8937936106,-70.0414687288,"Black",119.994715984148,33.9117014543065,8,217,0.129319750517151,-0.295592209856694,123.120651695288,35.8221151481404,9,227,0.0916310276906871,-0.224994774689775,108.419418758256,33.4404650237613,4,202,-0.0385335441475401,-0.207473295741699
"7171","2020-08-07",42.3650511158,-82.1373159896,"Black",99.26750204304,30.1664109045935,18,216,-0.281879855751134,-0.0814297496688737,96.192045764097,29.5085061755571,19,221,-0.216565373567535,0.0505728982359126,73.9250885317352,26.4682957709931,4,215,0.250356387236409,0.386159485762691
"7175","2020-08-07",43.4218940735,-80.2856216431,"Black",122.272064186725,29.1681524341783,37,205,0.247391221203344,-0.279029856912996,133.459883296864,27.1433228147684,57,202,-0.351480784622642,-0.00935438697142335,54.2571115973742,29.026662731595,0,143,-0.215615388993553,0.660311933392162
"7177","2020-08-04",43.2475279954,-81.8227629467,"Black",205.48243559719,50.0463856407437,28,255,0.0986584878839905,-0.92838135066697,204.084947839046,51.0706643463185,24,255,0.0309273496115341,-0.906443940357224,167.827336597828,52.6592073104173,0,255,-0.366716592454686,-0.570562813899884
"7179","2020-08-07",44.47683,-77.30751,"Red",159.469717362046,36.0658104041582,60,255,-0.461828660461517,-0.0833551085449569,138.682368775236,34.316330875135,38,234,-0.47226795544051,-0.184577307374219,116.35935397039,33.9722229266704,20,196,-0.516433387115339,-0.221767596294014
"7185","2020-08-08",39.6217938,-76.1608026,"Black",183.462555066079,15.1984558656262,141,218,-0.048860039905068,-0.362407017455241,189.660792951542,14.7718461373824,150,224,-0.0502745060694965,-0.228483504080894,142.621145374449,17.128279480857,94,186,-0.207019312760335,-0.023594158249761
"7186","2020-08-08",38.6471663889,-76.6215716667,"Black",186.191836145969,45.8993650348971,4,255,0.511793529433382,-0.938539843076194,170.077888360017,42.9736730492536,1,255,0.508325688039174,-0.834458559136393,129.514495889225,41.4100952501574,0,241,-0.21894029830556,-0.406975373933541
"7189","2020-08-07",44.2716933859,-78.6070919037,"Black",95.3627450980392,30.800734123958,13,189,-0.647892350073182,0.397431600791108,91.1496539792387,28.3808178006244,13,186,-0.593963487224718,0.310706089939293,80.921568627451,22.2013277085818,11,179,-0.20754542261502,0.12747496721494
"7191","2020-08-07",41.3250166667,-79.8798805556,"Black",129.818181818182,39.473573835725,8,207,-0.260876909042807,-0.613099069062329,103.159090909091,37.2069171093671,0,186,-0.45640218328732,-0.480771596685585,109.356643356643,35.0041089595882,6,196,-0.240144259610393,-0.471388323737395
"7194","2020-08-02",47.2520146384,-61.9171861812,"Black",188.65811965812,30.6045867627157,71,241,0.340344421471353,-0.406907727293207,166.846153846154,29.6934380840614,67,219,-0.442316532165495,-0.147584572219444,129.205128205128,26.8981278868926,58,179,-0.959044879282523,-0.0101137573316638
"7198","2020-08-08",44.8589292239,-79.2937927321,"Black",235.617171717172,35.5910644777316,102,255,4.1228788934113,-2.25419435932169,232.10202020202,38.6041681132029,94,255,3.45989691522376,-2.1075410318056,215.660606060606,38.8567143540297,83,249,2.36036467613492,-1.79606459319814
"7201","2020-08-08",42.8482312721,-88.4153107707,"Red",190.87795765878,25.5730833754922,76,244,1.48858788865134,-0.870429346670495,150.39103362391,24.994244111512,43,207,0.982690759810292,-0.673835544465612,91.40099626401,23.1125102202688,21,151,-0.252389736136236,-0.137403253838626
